Date,Open,High,Low,Close,Adj Close,Volume
2000-08-04,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-07,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-08,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-09,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-10,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-11,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-14,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-15,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-16,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-17,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-18,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-21,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-22,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-23,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-24,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-25,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-28,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-29,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-30,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-08-31,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-01,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-04,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-05,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-06,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-07,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-08,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-11,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-12,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-13,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-14,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-15,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-18,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-19,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-20,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-21,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-22,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-25,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-26,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-27,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-28,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-09-29,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-02,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-03,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-04,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-05,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-06,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-09,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-10,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-11,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-12,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-13,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-16,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-17,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-18,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-19,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-20,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-23,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-24,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-25,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-26,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-27,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-30,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-10-31,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-01,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-02,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-03,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-06,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-07,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-08,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-09,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-10,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-13,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-14,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-15,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-16,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-17,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-20,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-21,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-22,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-23,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-24,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-27,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-28,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-29,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-11-30,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-01,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-04,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-05,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-06,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-07,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-08,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-11,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-12,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-13,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-14,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-15,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-18,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-19,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-20,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-21,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-22,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-25,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-26,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-27,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-28,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2000-12-29,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-01,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-02,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-03,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-04,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-05,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-08,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-09,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-10,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-11,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-12,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-15,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-16,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-17,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-18,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-19,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-22,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-23,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-24,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-25,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-26,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-29,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-30,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-01-31,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-01,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-02,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-05,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-06,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-07,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-08,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-09,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-12,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-13,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-14,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-15,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-16,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-19,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-20,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-21,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-22,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-23,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-26,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-27,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-02-28,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-01,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-02,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-05,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-06,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-07,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-08,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-09,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-12,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-13,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-14,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-15,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-16,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-19,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-20,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-21,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-22,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-23,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-26,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-27,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-28,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-29,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-03-30,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-02,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-03,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-04,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-05,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-06,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-09,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-10,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-11,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-12,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-13,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-16,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-17,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-18,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-19,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-20,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-23,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-24,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-25,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-26,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-27,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-04-30,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-01,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-02,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-03,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-04,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-07,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-08,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-09,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-10,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-11,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-14,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-15,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-16,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-17,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-18,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-21,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-22,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-23,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-24,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-25,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-28,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-29,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-30,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-05-31,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-01,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-04,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-05,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-06,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-07,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-08,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-11,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-12,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-13,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-14,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-15,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-18,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-19,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-20,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-21,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-22,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-25,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-26,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-27,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-28,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.0009745853021740913,0
2001-06-29,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.021858543157577515,0
2001-07-02,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.021858543157577515,0
2001-07-03,3.140000104904175,3.140000104904175,3.140000104904175,3.140000104904175,0.021858543157577515,0
